정류장ID,버스정류장명,위도,경도
197,KBS스포츠월드,37.556781666666666,126.85051166666666
198,한국가스기술공사,37.55802166666667,126.84563333333332
199,발산역,37.558501666666665,126.83922
392,종로1가,37.570370000000004,126.98012833333333
519,광나루역.극동아파트,37.54424166666667,127.10331999999998
813,길음뉴타운8단지,37.60749166666667,127.01574166666666
855,여의도환승센터,37.52531666666666,126.9241
1057,서울일원동우체국,37.491996666666665,127.08762999999999
1060,노원구청,37.653929999999995,127.05815333333334
1911,범일운수종점,37.450285,126.91160166666666
2266,발산역3번출구,37.56006333333333,126.83892499999999
2272,등촌주공6단지앞,37.560354999999994,126.84844666666667
2273,강서구올림픽체육센터,37.559795,126.85032166666666
2274,등촌9단지SBS공개홀,37.561875,126.85093166666665
2275,가양4.5단지상가앞,37.563943333333334,126.85282333333335
4128,신도림역,37.50709333333334,126.89163666666667
4133,대림3동사거리.명지춘혜병원,37.50051666666666,126.89762666666665
4137,우성5차아파트,37.50733833333334,126.90303333333334
4140,영등포역후문,37.51465666666666,126.90794666666667
4142,도림동자치회관,37.50955,126.90754999999999
4144,우성5차아파트,37.507603333333336,126.90320666666666
4853,남부터미널,37.484755,127.01560166666668
5085,강서구올림픽체육센터,37.55991166666667,126.85018166666666
5087,등현초등학교,37.5611,126.84726666666666
7046,자동차매매단지,37.48878666666667,126.74748833333334
7086,상도중학교,37.49343,126.75963833333331
7097,상도중학교,37.493543333333335,126.75999500000002
7117,탄현역,37.69057166666666,126.76262999999999
7118,탄현역,37.691275000000005,126.76278666666667
7138,건영아파트,37.69689166666667,126.76689166666665
7140,탄현동문아파트,37.699648333333336,126.7673
7146,탄현효성주은아파트,37.69061833333333,126.76831500000002
7184,일산터미널,37.68552833333333,126.77323333333334
7197,명륜3가.성대입구,37.58258166666667,126.99825166666666
7203,북일산전화국.일산2동주민센터,37.684909999999995,126.77623666666665
7206,부천대학입구.KT부천지사,37.48650833333333,126.77799833333331
7230,부천상상거리,37.48616666666667,126.78018833333333
7238,노마즈하우스.우리은행,37.488545,126.78353333333334
7244,뉴대성병원.심곡천,37.49158666666666,126.78422333333334
7247,뉴대성병원.심곡천,37.49166666666667,126.784575
7249,부천북초등학교,37.49401,126.78477833333334
7252,부천북초등학교,37.494765,126.785275
7254,도당사거리.북중학교,37.519553333333334,126.78634166666667
7256,원미구청,37.49745666666667,126.78555833333333
7258,도당사거리.북중학교,37.519025000000006,126.78573333333334
7267,춘의역,37.50474833333333,126.786605
7272,춘의역,37.504415,126.78701833333335
7356,개화119안전센터,37.57512833333333,126.80222499999999
7361,성곡동주민센터,37.51633833333334,126.80351666666665
7362,성곡동주민센터,37.516351666666665,126.80391166666668
7364,원종역3번출구,37.52328333333333,126.80467333333333
7367,원종역2번출구,37.522974999999995,126.80498166666666
7384,공항시장,37.562263333333334,126.80883666666665
7387,공항시장,37.56242333333333,126.80875166666668
7404,방화2동우촌연립,37.57006,126.81151
7420,공항동송정중학교,37.552778333333336,126.81511666666665
7421,공항동송정중학교,37.55313,126.81536833333332
7422,공항중학교,37.561119999999995,126.81465333333333
7426,수주도서관.고강선사유적공원,37.52479833333334,126.81587666666668
7428,서울농원,37.53607,126.81629666666667
7429,공항중학교,37.56346666666666,126.81628166666665
7431,공항중학교.마곡엠밸리9단지,37.56245833333333,126.81676
7452,외발산신광명마을,37.546175,126.82150833333331
7458,양원초교.광영여고,37.53911333333333,126.82345333333333
7475,서울금융고등학교,37.53724,126.8271
7478,신월5동주민센터.신월중학교,37.539253333333335,126.82761666666666
7479,신월5동주민센터.신월중학교,37.539523333333335,126.82758
7486,신월3동주민센터.신월3동우체국,37.53466,126.82883500000001
7489,서부여성발전센터,37.535111666666666,126.82906499999999
7501,신화중학교,37.539355,126.83076333333332
7508,신월1동주민센터.신월보건지소,37.532183333333336,126.83104999999999
7511,신화중학교,37.539653333333334,126.83134999999999
7514,서서울호수공원,37.52903666666667,126.83261666666667
7522,서서울호수공원,37.52933666666667,126.83286500000001
7525,궁동청소년문화의집,37.493318333333335,126.83282333333334
7526,궁동청소년문화의집.구로검사소,37.49313333333334,126.83363333333334
7533,신월동우성상가,37.52179,126.83383833333333
7536,푸른마을2단지아파트,37.51403166666667,126.83398833333334
7539,신월동우성상가,37.52171666666666,126.83399
7548,고양시청,37.65742,126.83398833333334
7553,신월문화체육센터,37.51996833333333,126.83524833333334
7556,화곡중고등학교,37.547223333333335,126.83622333333332
7557,우장산역4번출구,37.54982333333333,126.836145
7558,신월문화체육센터,37.52011666666667,126.83619833333333
7569,국립과학수사연구소입구,37.522355,126.83703500000001
7570,과학수사연구소입구,37.521905,126.83696166666665
7572,신월시영아파트중문,37.519088333333336,126.836715
7573,가로공원.나누리병원,37.537463333333335,126.83689000000001
7576,가로공원.나누리병원,37.536883333333336,126.83719166666667
7578,대원시장,37.544603333333335,126.83736500000002
7583,금실어린이공원,37.517986666666665,126.83780666666668
7584,대원시장,37.54409333333333,126.83822833333333
7586,경창빌딩,37.51866,126.83858166666666
7587,화곡동대림아파트.화곡중앙시장,37.53418,126.83832166666667
7590,화곡역,37.54103833333333,126.83875333333332
7591,화곡대림아파트,37.53300333333333,126.83893000000002
7592,한빛종합사회복지관,37.521256666666666,126.83925166666668
7593,한빛종합사회복지관,37.521341666666665,126.83874333333333
7596,화곡역8번출구,37.54302,126.83894833333333
7597,발산역5번출구,37.55825333333333,126.83954
7608,화곡역1번출구,37.54279833333333,126.83951666666665
7613,양천향교역7번출구,37.56695166666667,126.840785
7614,강신중학교,37.51537333333333,126.84037000000002
