정류장ID,버스정류장명,정류장X좌표,정류장Y좌표,geometry
7458,양원초교.광영여고,126.82345333333333,37.53911333333333,POINT (126.82345333333333 37.53911333333333)
7475,서울금융고등학교,126.8271,37.53724,POINT (126.8271 37.53724)
7478,신월5동주민센터.신월중학교,126.82761666666666,37.539253333333335,POINT (126.82761666666666 37.539253333333335)
7479,신월5동주민센터.신월중학교,126.82758,37.539523333333335,POINT (126.82758 37.539523333333335)
7486,신월3동주민센터.신월3동우체국,126.82883500000001,37.53466,POINT (126.82883500000001 37.53466)
7489,서부여성발전센터,126.82906499999999,37.535111666666666,POINT (126.82906499999999 37.535111666666666)
7501,신화중학교,126.83076333333332,37.539355,POINT (126.83076333333332 37.539355)
7508,신월1동주민센터.신월보건지소,126.83104999999999,37.532183333333336,POINT (126.83104999999999 37.532183333333336)
7511,신화중학교,126.83134999999999,37.539653333333334,POINT (126.83134999999999 37.539653333333334)
7514,서서울호수공원,126.83261666666667,37.52903666666667,POINT (126.83261666666667 37.52903666666667)
7522,서서울호수공원,126.83286500000001,37.52933666666667,POINT (126.83286500000001 37.52933666666667)
7533,신월동우성상가,126.83383833333333,37.52179,POINT (126.83383833333333 37.52179)
7539,신월동우성상가,126.83399,37.52171666666666,POINT (126.83399 37.52171666666666)
7553,신월문화체육센터,126.83524833333334,37.51996833333333,POINT (126.83524833333334 37.51996833333333)
7558,신월문화체육센터,126.83619833333333,37.52011666666667,POINT (126.83619833333333 37.52011666666667)
7569,국립과학수사연구소입구,126.83703500000001,37.522355,POINT (126.83703500000001 37.522355)
7570,과학수사연구소입구,126.83696166666665,37.521905,POINT (126.83696166666665 37.521905)
7572,신월시영아파트중문,126.836715,37.519088333333336,POINT (126.836715 37.519088333333336)
7583,금실어린이공원,126.83780666666668,37.517986666666665,POINT (126.83780666666668 37.517986666666665)
7586,경창빌딩,126.83858166666666,37.51866,POINT (126.83858166666666 37.51866)
7592,한빛종합사회복지관,126.83925166666668,37.521256666666666,POINT (126.83925166666668 37.521256666666666)
7593,한빛종합사회복지관,126.83874333333333,37.521341666666665,POINT (126.83874333333333 37.521341666666665)
7614,강신중학교,126.84037000000002,37.51537333333333,POINT (126.84037000000002 37.51537333333333)
10107,신월2동주민센터입구,126.84569000000002,37.522756666666666,POINT (126.84569000000002 37.522756666666666)
10110,신월2동주민센터입구.경창전통시장,126.84601666666667,37.523035,POINT (126.84601666666667 37.523035)
10137,양강중학교,126.84950166666667,37.52385,POINT (126.84950166666667 37.52385)
13440,양강중학교,126.84997,37.52376,POINT (126.84997 37.52376)
14684,중부운수앞,126.83081333333332,37.52415333333333,POINT (126.83081333333332 37.52415333333333)
14689,중부운수앞,126.83079666666666,37.52424666666666,POINT (126.83079666666666 37.52424666666666)
14909,신안파크아파트후문,126.82879666666668,37.52397666666666,POINT (126.82879666666668 37.52397666666666)
14910,신안파크아파트후문,126.82890666666665,37.5241,POINT (126.82890666666665 37.5241)
14948,금실어린이공원,126.83788666666666,37.51738833333333,POINT (126.83788666666666 37.51738833333333)
70769,신월중학교입구,126.82528333333333,37.53989833333333,POINT (126.82528333333333 37.53989833333333)
70770,국민은행신월동지점,126.82910666666666,37.535804999999996,POINT (126.82910666666666 37.535804999999996)
70771,가로공원공영주차장.신영시장,126.83302333333334,37.53637833333333,POINT (126.83302333333334 37.53637833333333)
70808,가로공원공영주차장,126.83258166666668,37.536653333333334,POINT (126.83258166666668 37.536653333333334)
70809,국민은행신월동지점,126.82952333333333,37.53624166666667,POINT (126.82952333333333 37.53624166666667)
70810,메디힐병원,126.82772333333332,37.53709166666667,POINT (126.82772333333332 37.53709166666667)
70811,신월중학교입구,126.82566,37.54013166666667,POINT (126.82566 37.54013166666667)
75325,강서초등학교,126.841675,37.522025,POINT (126.841675 37.522025)
75336,양서중학교,126.83095499999999,37.53154833333333,POINT (126.83095499999999 37.53154833333333)
75340,강서초등학교,126.84193166666667,37.52187833333333,POINT (126.84193166666667 37.52187833333333)
75357,신월동남부주유소,126.83858333333335,37.51939166666667,POINT (126.83858333333335 37.51939166666667)
75690,강신중학교,126.83980833333332,37.51586333333333,POINT (126.83980833333332 37.51586333333333)
75951,하나은행신월동지점,126.83799499999999,37.530478333333335,POINT (126.83799499999999 37.530478333333335)
76440,신월시영아파트중문,126.83657999999998,37.519083333333334,POINT (126.83657999999998 37.519083333333334)
76527,신월문화체육센터,126.83687833333333,37.520513333333334,POINT (126.83687833333333 37.520513333333334)
107546,신월시영아파트.강월초등학교,126.83552999999999,37.51573166666667,POINT (126.83552999999999 37.51573166666667)
8000330,국립과학수사연구소.고강동종점,126.82580833333334,37.52352333333333,POINT (126.82580833333334 37.52352333333333)
8000332,국립과학수사연구소.고강동종점,126.82571333333333,37.52354833333333,POINT (126.82571333333333 37.52354833333333)
8001244,광영고.신동아파밀리에아파트,126.82329499999999,37.53939166666667,POINT (126.82329499999999 37.53939166666667)
8003081,보람쉬움아파트.신영시장,126.835265,37.52995,POINT (126.835265 37.52995)
8003082,보람쉬움아파트,126.83548166666667,37.5298,POINT (126.83548166666667 37.5298)
8502021,양서중학교,126.83016166666667,37.53284,POINT (126.83016166666667 37.53284)
9004254,양강중학교,126.85027999999998,37.524861666666666,POINT (126.85027999999998 37.524861666666666)
9004272,신정네거리해누리분수광장,126.85152833333335,37.52193333333333,POINT (126.85152833333335 37.52193333333333)
9004274,동방아파트,126.84634,37.52193,POINT (126.84634 37.52193)
9004275,동방아파트.신월종합사회복지관,126.846305,37.52147333333333,POINT (126.846305 37.52147333333333)
