하차정류장ID,하차정류장명,위도_y,경도_y,승객수
2542,마장,37.5661,127.042973,49
2543,답십리,37.566747,127.052704,52
2544,장한평,37.56144,127.064623,103
2545,군자(능동),37.557088,127.079577,75
2546,아차산(어린이대공원후문),37.551691,127.089761,83
2547,광나루(장신대),37.545303,127.10357,92
2548,천호(풍납토성),37.53864,127.123308,73
2549,강동,37.535804,127.132481,54
2550,길동,37.537801,127.140004,23
2551,굽은다리(강동구민회관앞),37.545477,127.142853,21
2552,명일,37.55137,127.143999,26
2553,고덕,37.555004,127.154151,10
2554,상일동,37.556712,127.166417,14
2555,둔촌동,37.527788,127.136248,40
2556,올림픽공원(한국체대),37.516201,127.130923,23
2557,방이,37.508857,127.126133,29
2558,오금,37.502057,127.127938,28
2559,개롱,37.498079,127.13482,15
2560,거여,37.493105,127.14415,12
2561,마천,37.49499,127.152781,18
2562,강일,37.55749,127.17593,16
2563,미사,37.560927,127.193877,26
2564,하남풍산,37.552034,127.203864,8
2565,하남시청(덕풍·신장),37.53972,127.22345,12
2566,하남검단산,37.54205,127.20612,16
2611,응암,37.598605,126.915577,45
2612,역촌,37.606021,126.922744,17
2613,불광,37.610873,126.92939,39
2614,독바위,37.618456,126.933031,4
2616,구산,37.611377,126.91727,16
2617,새절(신사),37.591148,126.913629,31
2618,증산(명지대앞),37.583876,126.909645,23
2619,디지털미디어시티,37.576108,126.901391,13
2620,월드컵경기장(성산),37.569532,126.899298,32
2621,마포구청,37.563515,126.903343,34
2622,망원,37.556094,126.910052,75
2623,합정,37.549209,126.913366,5
2624,상수,37.547716,126.922852,73
2625,광흥창(서강),37.547456,126.931993,47
2626,대흥(서강대앞),37.547771,126.942069,132
2627,공덕,37.543555,126.951678,86
2628,효창공원앞,37.539233,126.961384,59
2629,삼각지,37.535534,126.974032,147
2630,녹사평(용산구청),37.534675,126.986695,73
2631,이태원,37.534488,126.994302,151
2632,한강진,37.539631,127.001725,123
2633,버티고개,37.548013,127.007055,18
2634,약수,37.554263,127.010358,14
2635,청구,37.560608,127.013986,81
2636,신당,37.566154,127.016146,33
2637,동묘앞,37.572279,127.015653,24
2638,창신,37.579661,127.015241,22
2639,보문,37.585274,127.019351,19
2640,안암(고대병원앞),37.586272,127.029005,76
2641,고려대(종암),37.590508,127.036296,49
2642,월곡(동덕여대),37.601948,127.041518,41
2643,상월곡(한국과학기술연구원),37.606377,127.048491,38
2644,돌곶이,37.610537,127.056431,24
2645,석계,37.614872,127.065595,21
2646,태릉입구,37.617338,127.074735,68
2647,화랑대(서울여대입구),37.620064,127.084689,26
2648,봉화산(서울의료원),37.617283,127.091401,11
2711,장암,37.700109,127.053196,3
2712,도봉산,37.689241,127.046509,6
2713,수락산,37.67785,127.055315,5
2714,마들,37.66494,127.057675,4
2715,노원,37.654836,127.060462,1
2716,중계,37.644583,127.064303,10
2717,하계,37.636352,127.06799,8
2718,공릉(서울과학기술대),37.625742,127.072896,18
2719,태릉입구,37.618294,127.075397,5
2720,먹골,37.610637,127.077725,14
2721,중화,37.602545,127.079264,18
2722,상봉,37.595577,127.085716,27
2723,면목,37.588579,127.087503,28
2724,사가정,37.580894,127.088478,20
2725,용마산(용마폭포공원),37.573647,127.086727,11
2726,중곡,37.565923,127.08432,29
2727,군자(능동),37.556897,127.079338,9
2728,어린이대공원(세종대),37.548014,127.074658,109
2729,건대입구,37.540786,127.071011,38
2730,자양(뚝섬한강공원),37.53154,127.066704,56
2731,청담,37.519365,127.05335,58
2732,강남구청,37.517179,127.041255,59
2733,학동,37.514229,127.031656,129
2734,논현,37.511093,127.021415,61
2735,반포,37.508178,127.011727,9
2736,고속터미널,37.503367,127.005068,74
2737,내방,37.487618,126.993513,38
2738,이수,37.485196,126.981605,63
2739,남성,37.484596,126.971251,33
2740,숭실대입구(살피재),37.496029,126.953822,74
2741,상도,37.502834,126.94791,19
2742,장승배기,37.504898,126.93915,10
2743,신대방삼거리,37.499701,126.928276,37
2744,보라매,37.499872,126.920428,55
2745,신풍,37.50008,126.90993,34
2746,대림(구로구청),37.493013,126.897075,46
2747,남구로,37.486056,126.887249,15
2748,가산디지털단지,37.480338,126.882656,63
2749,철산,37.47605,126.867911,26
2750,광명사거리,37.479252,126.854876,8
2751,천왕,37.486637,126.838713,13
2811,암사,37.55021,127.127562,14
2812,천호(풍납토성),37.538113,127.123254,32
2813,강동구청,37.530341,127.120508,7
2814,몽촌토성(평화의문),37.517409,127.112359,19
2815,잠실(송파구청),37.514692,127.104338,19
2816,석촌,37.505557,127.106832,15
2817,송파,37.499703,127.112183,21
2818,가락시장,37.492888,127.118398,44
2819,문정,37.485855,127.1225,169
