승차정류장ID,하차정류장ID,승차정류장명,하차정류장명,위도_x,경도_x,위도_y,경도_y,승객수
7569,70810,국립과학수사연구소입구,메디힐병원,37.522355,126.837035,37.53709166666667,126.82772333333332,657
7569,70811,국립과학수사연구소입구,신월중학교입구,37.522355,126.837035,37.54013166666667,126.82566,104
7570,75690,과학수사연구소입구,강신중학교,37.521905,126.83696166666664,37.51586333333333,126.83980833333332,169
7587,70808,화곡동대림아파트.화곡중앙시장,가로공원공영주차장,37.53418,126.83832166666669,37.53665333333333,126.83258166666668,110
7587,70809,화곡동대림아파트.화곡중앙시장,국민은행신월동지점,37.53418,126.83832166666669,37.53624166666667,126.82952333333331,200
7587,70810,화곡동대림아파트.화곡중앙시장,메디힐병원,37.53418,126.83832166666669,37.53709166666667,126.82772333333332,157
7587,70811,화곡동대림아파트.화곡중앙시장,신월중학교입구,37.53418,126.83832166666669,37.54013166666667,126.82566,180
7592,10107,한빛종합사회복지관,신월2동주민센터입구,37.521256666666666,126.83925166666668,37.522756666666666,126.84569000000002,121
7592,13440,한빛종합사회복지관,양강중학교,37.521256666666666,126.83925166666668,37.52376,126.84997,273
7593,8000332,한빛종합사회복지관,국립과학수사연구소.고강동종점,37.521341666666665,126.83874333333333,37.52354833333333,126.82571333333333,146
7614,7489,강신중학교,서부여성발전센터,37.51537333333333,126.84037000000002,37.535111666666666,126.829065,163
7614,7508,강신중학교,신월1동주민센터.신월보건지소,37.51537333333333,126.84037000000002,37.532183333333336,126.83105,172
7614,7522,강신중학교,서서울호수공원,37.51537333333333,126.84037000000002,37.52933666666667,126.832865,246
7614,70810,강신중학교,메디힐병원,37.51537333333333,126.84037000000002,37.53709166666667,126.82772333333332,144
7621,7486,화곡역5번출구,신월3동주민센터.신월3동우체국,37.54067833333333,126.84097333333332,37.53466,126.828835,171
7621,70808,화곡역5번출구,가로공원공영주차장,37.54067833333333,126.84097333333332,37.53665333333333,126.83258166666668,116
7621,70809,화곡역5번출구,국민은행신월동지점,37.54067833333333,126.84097333333332,37.53624166666667,126.82952333333331,194
7621,75951,화곡역5번출구,하나은행신월동지점,37.54067833333333,126.84097333333332,37.530478333333335,126.837995,132
7621,9004254,화곡역5번출구,양강중학교,37.54067833333333,126.84097333333332,37.524861666666666,126.85027999999998,212
7621,9004272,화곡역5번출구,신정네거리해누리분수광장,37.54067833333333,126.84097333333332,37.52193333333333,126.85152833333336,122
7621,9004276,화곡역5번출구,신곡시장.금빛새마을금고,37.54067833333333,126.84097333333332,37.51969,126.84375833333334,135
7621,9033319,화곡역5번출구,신월2동우체국,37.54067833333333,126.84097333333332,37.52308166666667,126.85124833333332,108
7633,7478,서부트럭터미널.신정동일하이빌아파트,신월5동주민센터.신월중학교,37.510935,126.84236333333337,37.539253333333335,126.82761666666666,102
7633,7489,서부트럭터미널.신정동일하이빌아파트,서부여성발전센터,37.510935,126.84236333333337,37.535111666666666,126.829065,113
7633,7508,서부트럭터미널.신정동일하이빌아파트,신월1동주민센터.신월보건지소,37.510935,126.84236333333337,37.532183333333336,126.83105,128
7633,7522,서부트럭터미널.신정동일하이빌아파트,서서울호수공원,37.510935,126.84236333333337,37.52933666666667,126.832865,255
7633,7569,서부트럭터미널.신정동일하이빌아파트,국립과학수사연구소입구,37.510935,126.84236333333337,37.522355,126.837035,316
7633,75357,서부트럭터미널.신정동일하이빌아파트,신월동남부주유소,37.510935,126.84236333333337,37.51939166666667,126.83858333333336,204
7634,70809,화곡동백구사,국민은행신월동지점,37.5326,126.84251833333336,37.53624166666667,126.82952333333331,103
7634,70810,화곡동백구사,메디힐병원,37.5326,126.84251833333336,37.53709166666667,126.82772333333332,139
7634,70811,화곡동백구사,신월중학교입구,37.5326,126.84251833333336,37.54013166666667,126.82566,117
7635,7479,화곡본동시장,신월5동주민센터.신월중학교,37.54324833333333,126.84270333333332,37.539523333333335,126.82758,189
